Location,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic,Total
United States,17084,1380,1470,20422
Alabama,197,NSD,NSD,206
Alaska,72,NSD,NSD,90
Arizona,474,14,92,605
Arkansas,191,NSD,NSD,201
California,1445,120,365,1987
Colorado,295,19,71,397
Connecticut,180,10,24,216
Delaware,68,NSD,NSD,81
District of Columbia,NSD,NSD,NSD,13
Florida,1392,52,118,1590
Georgia,436,NSD,NSD,490
Hawaii,37,NSD,NSD,57
Idaho,55,NSD,NSD,62
Illinois,650,156,69,886
Indiana,295,NSD,NSD,319
Iowa,135,NSD,NSD,141
Kansas,140,NSD,NSD,148
Kentucky,419,NSD,NSD,434
Louisiana,116,NSD,NSD,122
Maine,114,NSD,NSD,114
Maryland,425,NSD,NSD,586
Massachusetts,550,33,37,622
Michigan,588,113,25,736
Minnesota,234,NSD,NSD,272
Mississippi,88,NSD,NSD,96
Missouri,474,NSD,NSD,526
Montana,75,NSD,NSD,89
Nebraska,59,NSD,NSD,66
Nevada,379,23,29,439
New Hampshire,124,NSD,NSD,126
New Jersey,45,NSD,NSD,55
New Mexico,85,NSD,NSD,200
New York,797,94,148,1058
North Carolina,802,NSD,NSD,857
North Dakota,16,NSD,NSD,17
Ohio,602,45,15,664
Oklahoma,472,18,13,568
Oregon,344,NSD,NSD,368
Pennsylvania,592,33,11,637
Rhode Island,103,NSD,NSD,115
South Carolina,204,NSD,NSD,238
South Dakota,29,NSD,NSD,35
Tennessee,512,NSD,NSD,535
Texas,815,69,224,1151
Utah,342,NSD,NSD,370
Vermont,34,NSD,NSD,39
Virginia,406,NSD,NSD,477
Washington,628,27,17,708
West Virginia,180,NSD,NSD,184
Wisconsin,340,39,10,397
Wyoming,29,NSD,NSD,32
