Location,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic,Total
United States,14391,1535,1313,17541
Alabama,120,NSD,NSD,124
Alaska,27,NSD,NSD,29
Arizona,358,19,73,459
Arkansas,133,NSD,NSD,140
California,1094,86,295,1511
Colorado,261,NSD,NSD,326
Connecticut,193,12,19,224
Delaware,32,NSD,NSD,37
District of Columbia,NSD,NSD,NSD,55
Florida,1097,43,72,1223
Georgia,302,NSD,NSD,331
Hawaii,36,NSD,NSD,54
Idaho,63,NSD,NSD,70
Illinois,520,268,77,870
Indiana,169,NSD,NSD,176
Iowa,88,NSD,NSD,93
Kansas,108,NSD,NSD,120
Kentucky,318,NSD,NSD,331
Louisiana,171,NSD,NSD,194
Maine,86,NSD,NSD,93
Maryland,364,NSD,NSD,565
Massachusetts,569,35,53,659
Michigan,482,91,14,594
Minnesota,133,NSD,NSD,158
Mississippi,62,NSD,NSD,65
Missouri,350,NSD,NSD,403
Montana,36,NSD,NSD,47
Nebraska,27,NSD,NSD,34
Nevada,299,16,12,343
New Hampshire,102,NSD,NSD,104
New Jersey,277,62,30,372
New Mexico,96,NSD,NSD,243
New York,669,147,167,1010
North Carolina,647,NSD,NSD,696
North Dakota,NSD,NSD,NSD,NSD
Ohio,578,NSD,NSD,634
Oklahoma,325,NSD,NSD,383
Oregon,335,NSD,NSD,359
Pennsylvania,380,25,13,418
Rhode Island,119,NSD,NSD,130
South Carolina,200,NSD,NSD,214
South Dakota,21,NSD,NSD,23
Tennessee,453,NSD,NSD,470
Texas,799,74,183,1067
Utah,301,NSD,NSD,331
Vermont,54,NSD,NSD,57
Virginia,356,NSD,NSD,408
Washington,587,30,20,661
West Virginia,278,NSD,NSD,285
Wisconsin,294,25,10,334
Wyoming,12,NSD,NSD,14
