Location,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic,Total
United States,16405,1291,1482,19582
Alabama,176,NSD,NSD,185
Alaska,69,NSD,NSD,88
Arizona,402,14,60,494
Arkansas,187,NSD,NSD,197
California,1326,101,326,1801
Colorado,275,17,56,355
Connecticut,192,12,26,230
Delaware,58,NSD,NSD,65
District of Columbia,NSD,NSD,NSD,31
Florida,1288,41,130,1478
Georgia,344,NSD,NSD,404
Hawaii,33,NSD,NSD,53
Idaho,70,NSD,NSD,72
Illinois,605,149,78,846
Indiana,280,NSD,NSD,311
Iowa,123,NSD,NSD,127
Kansas,91,NSD,NSD,96
Kentucky,360,NSD,NSD,365
Louisiana,115,NSD,NSD,130
Maine,101,NSD,NSD,105
Maryland,387,NSD,NSD,513
Massachusetts,527,28,39,596
Michigan,530,85,19,643
Minnesota,195,NSD,NSD,227
Mississippi,100,NSD,NSD,106
Missouri,430,NSD,NSD,475
Montana,58,NSD,NSD,70
Nebraska,26,NSD,NSD,29
Nevada,339,26,24,397
New Hampshire,90,NSD,NSD,94
New Jersey,263,38,27,331
New Mexico,127,NSD,NSD,324
New York,812,104,175,1116
North Carolina,780,NSD,NSD,846
North Dakota,28,NSD,NSD,32
Ohio,736,NSD,NSD,814
Oklahoma,347,NSD,NSD,410
Oregon,312,NSD,NSD,342
Pennsylvania,546,45,17,611
Rhode Island,121,NSD,NSD,133
South Carolina,207,NSD,NSD,218
South Dakota,24,NSD,NSD,31
Tennessee,452,NSD,NSD,480
Texas,736,33,171,944
Utah,328,NSD,NSD,350
Vermont,54,NSD,NSD,57
Virginia,441,NSD,NSD,490
Washington,598,25,27,690
West Virginia,364,NSD,NSD,371
Wisconsin,317,35,13,369
Wyoming,35,NSD,NSD,40
