Medicare Part D Opioid Prescribing Rates from Calendar Year 2015 - State ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Urban and rural totals differ slightly from overall totals due to inability to map a small number of provider ZIP codes to the  United States Department of Agriculture (USDA) 2010 Rural-Urban Commuting Area Codes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015 ,,,,,,,,,,,,,,,,,,,,,Change in Opioid Prescribing Rates 2013 to 2015 ,,,,,
State Name,State Abbreviation,State FIPS,Part D Prescribers,Urban Part D Prescribers,Rural Part D Prescribers,Part D Opioid Prescribers,Urban Part D Opioid Prescribers,Rural Part D Opioid Prescribers,Opioid Claims,Urban Opioid Claims,Rural Opioid Claims,Long-Acting Opioid Claims,Urban Long-Acting Opioid Claims,Rural Long-Acting Opioid Claims,Overall Claims,Urban Overall Claims,Rural Overall Claims,Opioid Prescribing Rate,Urban Opioid Prescribing Rate,Rural Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Urban Long-Acting Opioid Prescribing Rate,Rural Long-Acting Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Urban Opioid Prescribing Rate,Change in Rural Opioid Prescribing Rate,Change in Long-Acting Opioid Prescribing Rate ,Change in Urban Long-Acting Opioid Prescribing Rate ,Change in Rural Long-Acting Opioid Prescribing Rate 
National,,,"1,090,964","967,268","122,456","495,183","425,839","68,793","78,051,171","62,861,847","15,107,449","10,076,751","8,263,339","1,800,772","1,418,536,258","1,151,359,177","265,748,795",5.50,5.46,5.68,12.91,13.15,11.92,-0.30,-0.28,-0.38,0.37,0.40,0.24
Alabama ,AL ,01,"13,492","11,481","2,000","6,970","5,767","1,197","2,171,523","1,661,474","508,069","218,325","179,561","38,666","28,896,832","21,760,083","7,116,263",7.51,7.64,7.14,10.05,10.81,7.61,-0.23,-0.21,-0.27,0.45,0.56,-0.03
Alaska ,AK ,02,"2,342","1,534",810,"1,065",658,408,"88,746","50,561","38,290","17,417","9,092","8,330","1,339,586","854,367","489,313",6.62,5.92,7.83,19.63,17.98,21.76,-0.11,-0.06,-0.07,0.56,0.08,1.35
Arizona ,AZ ,04,"21,832","19,873","1,811","10,972","9,857","1,041","1,644,343","1,435,631","200,212","266,336","232,131","33,661","24,314,102","21,596,162","2,543,839",6.76,6.65,7.87,16.20,16.17,16.81,-0.21,-0.23,0.07,0.36,0.13,1.86
Arkansas ,AR ,05,"8,327","6,193","2,127","4,702","3,286","1,413","1,130,659","719,413","409,284","110,795","80,431","30,219","17,786,224","10,714,818","7,062,882",6.36,6.71,5.79,9.80,11.18,7.38,-0.37,-0.30,-0.53,0.62,0.66,0.32
California ,CA ,06,"114,107","109,679","4,381","50,415","47,947","2,448","7,025,039","6,504,088","518,758","869,230","789,993","79,100","135,879,389","129,207,879","6,624,199",5.17,5.03,7.83,12.37,12.15,15.25,-0.30,-0.29,-0.48,0.76,0.83,0.08
Colorado ,CO ,08,"18,913","16,789","2,119","9,438","8,225","1,209","1,178,253","1,025,804","152,093","185,839","161,906","23,912","16,323,222","14,104,457","2,207,222",7.22,7.27,6.89,15.77,15.78,15.72,-0.28,-0.29,-0.27,-0.16,-0.22,0.26
Connecticut ,CT ,09,"16,842","16,391",444,"6,452","6,236",213,"681,476","651,527","29,875","111,978","107,563","4,415","15,968,369","15,313,308","651,370",4.27,4.25,4.59,16.43,16.51,14.78,-0.23,-0.23,-0.47,-0.16,-0.17,-0.13
Delaware ,DE ,10,"3,359","2,888",468,"1,616","1,366",247,"238,347","185,109","52,883","46,214","35,029","11,128","3,783,160","2,905,604","867,945",6.30,6.37,6.09,19.39,18.92,21.04,-0.27,-0.01,-1.17,0.50,0.90,-0.43
